"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6271","nested frame assign","chromium","2026-08-13","passed","2026-08-13","","iframeassign.spec.js","",""
"","11","test four @reg @smoke","chromium","2026-08-13","passed","2026-08-13","","tags.spec.js","",""
"","4685","loginassig1 using xpath","chromium","2026-08-13","passed","2026-08-13","","loginassig1.spec.js","",""
"","7489","multiple checkbox","chromium","2026-08-13","passed","2026-08-13","","checkbox.spec.js","",""
"","6","test two @smoke","chromium","2026-08-13","passed","2026-08-13","","tags.spec.js","",""
"","12699","Date Pickers_2","chromium","2026-08-13","passed","2026-08-13","","datepicker.spec.js","",""
"","4292","alert with textbox","chromium","2026-08-13","passed","2026-08-13","","alertassign.spec.js","",""
"","7","test one @reg","chromium","2026-08-13","passed","2026-08-13","","tags.spec.js","",""
"","2","test five @reg","chromium","2026-08-13","passed","2026-08-13","","tags.spec.js","",""
"","2302","login using xpath","chromium","2026-08-13","passed","2026-08-13","","login.spec.js","",""
"","7015","drag and drop","chromium","2026-08-13","passed","2026-08-13","","action.spec.js","",""
"","7356","prompt alert","chromium","2026-08-13","passed","2026-08-13","","alert.spec.js","",""
"","6652","multiple file upload","chromium","2026-08-13","passed","2026-08-13","","fileupload.spec.js","",""
"","4417","assignment mulitple dropdown","chromium","2026-08-13","passed","2026-08-13","","dropdown.spec.js","",""
"","7","test three @smoke","chromium","2026-08-13","passed","2026-08-13","","tags.spec.js","",""
"","9197","page navigate","chromium","2026-08-13","passed","2026-08-13","","tabs.spec.js","",""
"","4202","nested frame","chromium","2026-08-13","passed","2026-08-13","","iframe.spec.js","",""
